name,vCPU,ramgb,storagegb,io,hourlycost
r5d.2xlarge,8,64,1 x 300 NVMe SSD,10 Gigabit,0.5760
r5d.4xlarge,16,128,2 x 300 NVMe SSD,10 Gigabit,1.1520
r5d.8xlarge,32,256,2 x 600 NVMe SSD,10 Gigabit,2.3040
r5d.12xlarge,48,384,2 x 900 NVMe SSD,10 Gigabit,3.4560
r5d.16xlarge,64,512,4 x 600 NVMe SSD,20 Gigabit,4.6080
r5d.24xlarge,96,768,4 x 900 NVMe SSD,25 Gigabit,6.9120
r5d.metal,96,768,4 x 900 NVMe SSD,25 Gigabit,6.9120
r5dn.large,2,16,1 x 75 NVMe SSD,Up to 25 Gbps,0.1670
r5dn.xlarge,4,32,1 x 150 NVMe SSD,Up to 25 Gbps,0.3340
r5dn.2xlarge,8,64,1 x 300 NVMe SSD,Up to 25 Gbps,0.6680
r5dn.4xlarge,16,128,2 x 300 NVMe SSD,Up to 25 Gbps,1.3360
r5dn.8xlarge,32,256,2 x 600 NVMe SSD,25 Gigabit,2.6720
r5dn.12xlarge,48,384,2 x 900 GB NVMe SSD,50 Gigabit,4.0080
r5dn.16xlarge,64,512,4 x 600 NVMe SSD,75 Gigabit,5.3440
r5dn.24xlarge,96,768,4 x 900 NVMe SSD,100 Gigabit,8.0160
r5n.large,2,16,--,Up to 25 Gbps,0.1490
r5n.xlarge,4,32,--,Up to 25 Gbps,0.2980
r5n.2xlarge,8,64,--,Up to 25 Gbps,0.5960
r5n.4xlarge,16,128,--,Up to 25 Gbps,1.1920
r5n.8xlarge,32,256,--,25 Gigabit,2.3840
r5n.12xlarge,48,384,--,50 Gigabit,3.5760
r5n.16xlarge,64,512,--,75 Gigabit,4.7680
r5n.24xlarge,96,768,--,100 Gigabit,7.1520
t2.nano,1,0.5,--,Low,0.0058
t2.micro,1,1,--,Low to Moderate,0.0116
t2.small,1,2,--,Low to Moderate,0.0230
t2.medium,2,4,--,Low to Moderate,0.0464
t2.large,2,8,--,Low to Moderate,0.0928
t2.xlarge,4,16,--,Moderate,0.1856
t2.2xlarge,8,32,--,Moderate,0.3712
t3.nano,2,0.5,--,Low,0.0052
t3.micro,2,1,--,Low to Moderate,0.0104
t3.small,2,2,--,Low to Moderate,0.0208
t3.medium,2,4,--,Low to Moderate,0.0416
t3.large,2,8,--,Low to Moderate,0.0832
t3.xlarge,4,16,--,Moderate,0.1664
t3.2xlarge,8,32,--,Moderate,0.3328
t3a.nano,2,0.5,--,Low,0.0047
t3a.micro,2,1,--,Low to Moderate,0.0094
t3a.small,2,2,--,Low to Moderate,0.0188
t3a.medium,2,4,--,Low to Moderate,0.0376
t3a.large,2,8,--,Low to Moderate,0.0752
t3a.xlarge,4,16,--,Moderate,0.1504
t3a.2xlarge,8,32,--,Moderate,0.3008
x1.16xlarge,64,976,1 x 1920 SSD,High,6.6690
x1.32xlarge,128,1952,2 x 1920 SSD,High,13.3380
x1e.xlarge,4,122,1 x 120 SSD,Up to 10 Gbps,0.8340
x1e.2xlarge,8,244,1 x 240 SSD,Up to 10 Gbps,1.6680
x1e.4xlarge,16,488,1 x 480 SSD,Up to 10 Gbps,3.3360
x1e.8xlarge,32,976,1 x 960 SSD,Up to 10 Gbps,6.6720
x1e.16xlarge,64,1952,1 x 1920 SSD,10 Gigabit,13.3440
x1e.32xlarge,128,3904,2 x 1920 SSD,25 Gigabit,26.6880
z1d.large,2,16,1 x 75 NVMe SSD,Up to 10 Gbps,0.1860
z1d.xlarge,4,32,1 x 150 NVMe SSD,Up to 10 Gbps,0.3720
z1d.2xlarge,8,64,1 x 300 NVMe SSD,Up to 10 Gbps,0.7440
z1d.3xlarge,12,96,1 x 450 NVMe SSD,Up to 10 Gbps,1.1160
z1d.6xlarge,24,192,1 x 900 NVMe SSD,10 Gigabit,2.2320
z1d.12xlarge,48,384,2 x 900 NVMe SSD,25 Gigabit,4.4640
z1d.metal,48,384,2 x 900 NVMe SSD,25 Gigabit,4.4640
c1.medium,2,1.7,1 x 350 SSD,Moderate,0.1300
c1.xlarge,8,7,4 x 420 SSD,High,0.5200
c3.large,2,3.75,2 x 16 SSD,Moderate,0.1050
c3.xlarge,4,7.5,2 x 40 SSD,Moderate,0.2100
c3.2xlarge,8,15,2 x 80 SSD,High,0.4200
